timestamp,openlst_header,callsign,ccsds_version,ccsds_packet_type,ccsds_secondary_header_flag,ccsds_apid,ccsds_sequence_flags,ccsds_sequence_count,ccsds_packet_length,payload_filter_bank_power_ch2,payload_filter_bank_power_ch4,payload_filter_bank_power_ch5,payload_filter_bank_power_ch6,payload_filter_bank_power_ch7,payload_filter_bank_power_ch8,payload_sdr_power,payload_sdr_bright_1,payload_sdr_bright_2,payload_sdr_bright_3,payload_sdr_bright_4,payload_sdr_bright_5,payload_sdr_bright_6,payload_sdr_bright_7,payload_sdr_bright_8,payload_sdr_bright_9,payload_sdr_bright_10,observation_time,altitude,lat,long
1728421347,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,637,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 14:02,1758.260087986702,-48.79441687,51.005972748594516
1728421377,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,639,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 14:02,1752.791924960437,-49.24299954,52.84639336915215
1728421407,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,641,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 14:03,1747.2509012120054,-49.65813551,54.72411545735381
1728421437,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,643,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 14:03,1741.6398204488942,-50.03860535,56.63756313119782
1728425929,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,952,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 15:18,1709.438032917252,45.52403555653071,-85.96355037
1728425959,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,954,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 15:19,1715.1745490353883,44.86555276470696,-84.36750987
1728426019,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,960,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 15:20,1726.4937601491206,43.47678383,-81.30049917
1728426049,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,962,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 15:20,1732.0708620304747,42.748957866271674,-79.82813547
1728426079,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,964,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 15:21,1737.589321890099,42.000408906032604,-78.39539133
1728426109,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,966,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 15:21,1743.046477007787,41.232260552738765,-77.00128376
